condition,drugName,total_pred
Abnormal Uterine Bleeding,Alyacen 1 / 35,0.002541071
Abnormal Uterine Bleeding,Apri,0.006075821
Abnormal Uterine Bleeding,Aviane,0.008609367
Abnormal Uterine Bleeding,Camila,0.041293046
Abnormal Uterine Bleeding,CamreseLo,0.005599022
Abnormal Uterine Bleeding,Cryselle,0.012175397
Abnormal Uterine Bleeding,Depo-Provera,0.025410938
Abnormal Uterine Bleeding,Desogestrel / ethinyl estradiol,0.00656129
Abnormal Uterine Bleeding,Errin,0.002902192
Abnormal Uterine Bleeding,Estarylla,0.007330839
Abnormal Uterine Bleeding,Ethinyl estradiol / ethynodiol,0
Abnormal Uterine Bleeding,Ethinyl estradiol / etonogestrel,0
Abnormal Uterine Bleeding,Ethinyl estradiol / levonorgestrel,0.012967207
Abnormal Uterine Bleeding,Ethinyl estradiol / norethindrone,0.012755657
Abnormal Uterine Bleeding,Ethinyl estradiol / norgestimate,0.011507199
Abnormal Uterine Bleeding,Ethinyl estradiol / norgestrel,0.006112318
Abnormal Uterine Bleeding,Gildess Fe 1 / 20,0
Abnormal Uterine Bleeding,Jolessa,0.002758725
Abnormal Uterine Bleeding,Jolivette,0.028428787
Abnormal Uterine Bleeding,Junel Fe 1 / 20,0.005059347
Abnormal Uterine Bleeding,Levonorgestrel,0.032657896
Abnormal Uterine Bleeding,Levora,0.003703245
Abnormal Uterine Bleeding,Lo / Ovral-28,0.015124246
Abnormal Uterine Bleeding,LoSeasonique,0.019574594
Abnormal Uterine Bleeding,Loestrin 21 1 / 20,0.008953459
Abnormal Uterine Bleeding,Loestrin 24 Fe,0.02369615
Abnormal Uterine Bleeding,Lyza,0.017010701
Abnormal Uterine Bleeding,Medroxyprogesterone,0.031235174
Abnormal Uterine Bleeding,Megestrol,0.03313134
Abnormal Uterine Bleeding,Mestranol / norethindrone,0.001862843
Abnormal Uterine Bleeding,Microgestin Fe 1 / 20,0.009691014
Abnormal Uterine Bleeding,Microgestin Fe 1.5 / 30,0.010825628
Abnormal Uterine Bleeding,Mirena,0.031591806
Abnormal Uterine Bleeding,Mononessa,0.007999472
Abnormal Uterine Bleeding,Necon 1 / 35,0.001268949
Abnormal Uterine Bleeding,Necon 1 / 50,0
Abnormal Uterine Bleeding,Nora-Be,0.032905554
Abnormal Uterine Bleeding,Norethindrone,0.017604665
Abnormal Uterine Bleeding,Orsythia,0.01165417
Abnormal Uterine Bleeding,Ortho Micronor,0.126743225
Abnormal Uterine Bleeding,Ortho Tri-Cyclen,0.053300575
Abnormal Uterine Bleeding,Portia,0.00335937
Abnormal Uterine Bleeding,Premarin,0.021804781
Abnormal Uterine Bleeding,Previfem,0.000371628
Abnormal Uterine Bleeding,Provera,0.060976313
Abnormal Uterine Bleeding,Quasense,0.006535979
Abnormal Uterine Bleeding,Seasonale,0
Abnormal Uterine Bleeding,Seasonique,0.017488454
Abnormal Uterine Bleeding,Sprintec,0.017043629
Abnormal Uterine Bleeding,Sronyx,0.009037612
Abnormal Uterine Bleeding,Tri-Lo-Marzia,0.004845507
Abnormal Uterine Bleeding,Tri-Lo-Sprintec,0.003859664
Abnormal Uterine Bleeding,Tri-Previfem,0.007941404
Abnormal Uterine Bleeding,Tri-Sprintec,0.01637529
Abnormal Uterine Bleeding,TriNessa,0.007114126
Abnormal Uterine Bleeding,TriNessa Lo,0.002797848
Abortion,Misoprostol,54.89611995
Acne,Absorica,0.009235785
Acne,Acanya,0.011038508
Acne,Accutane,0.020092549
Acne,Acnex,0.004448024
Acne,Aczone,0.014424818
Acne,Adapalene,0.01379017
Acne,Adapalene / benzoyl peroxide,0.010205415
Acne,Aldactone,0.067375247
Acne,Amnesteem,0.009962276
Acne,Atralin,0.023130079
Acne,Avar,0.016012886
Acne,Azelaic acid,0.012354975
Acne,BP Wash,0.011564862
Acne,Bactrim,0.030223985
Acne,Bactrim DS,0.010943493
Acne,BenzEFoam,0.016067767
Acne,BenzEFoam Ultra,0.004315537
Acne,Benzaclin,0.011774074
Acne,Benzoyl peroxide,0.014493504
Acne,Benzoyl peroxide / clindamycin,0.009556197
Acne,Benzoyl peroxide / erythromycin,0.012683851
Acne,Benzoyl peroxide / hydrocortisone,0
Acne,Beyaz,0.008246309
Acne,Cephalexin,0.024054726
Acne,Claravis,0.011331323
Acne,Clindamycin,0.029450085
Acne,Clindamycin / tretinoin,0.005799336
Acne,Cyclafem 1 / 35,0.009730439
Acne,Dapsone,0.01582064
Acne,Differin,0.02095859
Acne,Doryx,0.021345219
Acne,Doxy 100,0.065711812
Acne,Doxycycline,0.012383518
Acne,Drospirenone / ethinyl estradiol,0.011539628
Acne,Drospirenone / ethinyl estradiol / levomefolate calcium,0.008143485
Acne,Duac,0.01538974
Acne,Epiduo,0.010890441
Acne,Epiduo Forte,0.003121615
Acne,Erythromycin,0.024019329
Acne,Estarylla,0.003049192
Acne,Ethinyl estradiol / norethindrone,0.005047748
Acne,Ethinyl estradiol / norgestimate,0.006859105
Acne,Finacea,0.025090819
Acne,Gianvi,0.009019382
Acne,Gildess Fe 1 / 20,0.003480371
Acne,Gildess Fe 1.5 / 30,0.001674472
Acne,Hexachlorophene,0.000478421
Acne,Inova 4 / 1,0
Acne,Isotretinoin,0.016208451
Acne,Junel Fe 1 / 20,0.002876166
Acne,Keflex,0.020033806
Acne,Loestrin 24 Fe,0.005233123
Acne,Loestrin Fe 1 / 20,0.000478421
Acne,Loryna,0.00257733
Acne,Magnesium hydroxide,0.02582095
Acne,Microgestin Fe 1 / 20,0.002094563
Acne,Microgestin Fe 1.5 / 30,0
Acne,Minocin,0.013734053
Acne,Minocycline,0.010253516
Acne,Monodox,0.012878383
Acne,Myorisan,0.002467104
Acne,Necon 1 / 35,0.001698357
Acne,Norinyl 1+35,0.017100316
Acne,Ocella,0.003082824
Acne,Onexton,0.006439531
Acne,Ortho Tri-Cyclen,0.008902351
Acne,PanOxyl,0.01623865
Acne,Retapamulin,0.003558419
Acne,Retin A Micro,0.013680253
Acne,Retin-A,0.039575797
Acne,SMZ-TMP DS,0.030367723
Acne,Salicylic acid,0.004448024
Acne,Solodyn,0.016262863
Acne,Sotret,0.008006443
Acne,Spironolactone,0.021885544
Acne,Sulfacetamide sodium / sulfur,0.009929536
Acne,Sulfamethoxazole / trimethoprim,0.017773495
Acne,Tazarotene,0.015009926
Acne,Tazorac,0.013918176
Acne,Tetracycline,0.010750633
Acne,Tretin-X,0.007225239
Acne,Tretinoin,0.018565972
Acne,Tri-Estarylla,0
Acne,Tri-Linyah,0.005356903
Acne,Tri-Previfem,0.011970101
Acne,Tri-Sprintec,0.009973307
Acne,TriNessa,0.007646612
Acne,TriNessa Lo,0.002345304
Acne,Veltin,0.008446632
Acne,Vestura,0.002236208
Acne,Vibramycin,0.002668814
Acne,Yasmin,0.018301157
Acne,Yaz,0.013191913
Acne,Ziana,0.009148128
Acne,femhrt,0.0012514
Actinic Keratosis,Carac,2.451987958
Actinic Keratosis,Efudex,4.346374485
Actinic Keratosis,Fluorouracil,3.967886043
Actinic Keratosis,Ingenol,0.721172929
Actinic Keratosis,Picato,0.721172929
Actinic Keratosis,Tolak,0.288469172
Acute Coronary Syndrome,Brilinta,2.282637364
Acute Coronary Syndrome,Effient,2.035398552
Acute Coronary Syndrome,Prasugrel,1.266575905
Acute Coronary Syndrome,Ticagrelor,2.183473384
Acute Lymphoblastic Leukemia,Iclusig,1.163518786
Acute Lymphoblastic Leukemia,Imatinib,14.64935333
Acute Promyelocytic Leukemia,Tretinoin,0.40168039
Acute Promyelocytic Leukemia,Vesanoid,1.470027447
Addison's Disease,Decadron,0
Addison's Disease,Dexamethasone,2.996458635
Addison's Disease,Fludrocortisone,23.09338158
Adrenocortical Insufficiency,Cortef,10.80085099
Adrenocortical Insufficiency,Hydrocortisone,4.806107369
Adult Human Growth Hormone Deficiency,Humatrope,22.35636079
Adult Human Growth Hormone Deficiency,Norditropin,18.75049615
Adult Human Growth Hormone Deficiency,Saizen,21.63518786
Agitated State,Abilify,3.345233002
Agitated State,Aripiprazole,3.580104906
Agitation,Citalopram,3.784795046
Agitation,Loxapine,0.465407515
Agitation,Olanzapine,5.974030113
Agitation,Risperidone,0.232703757
Alcohol Dependence,Acamprosate,0.685949299
Alcohol Dependence,Antabuse,1.137223491
Alcohol Dependence,Campral,0.673546565
Alcohol Dependence,Disulfiram,1.047535312
Alcohol Dependence,Naltrexone,0.675977505
Alcohol Dependence,Vivitrol,1.090124009
Alcohol Withdrawal,Atenolol,0.417177641
Alcohol Withdrawal,Baclofen,0.972375709
Alcohol Withdrawal,Catapres,1.123170573
Alcohol Withdrawal,Chlordiazepoxide,1.287547202
Alcohol Withdrawal,Clonidine,0.691462628
Alcohol Withdrawal,Diazepam,1.329391062
Alcohol Withdrawal,Gabapentin,1.320940855
Alcohol Withdrawal,Librium,1.284010673
Alcohol Withdrawal,Oxazepam,0.781994742
Alcohol Withdrawal,Serax,0.912327199
Alcohol Withdrawal,Tranxene,1.172992113
Alcohol Withdrawal,Valium,1.042659656
Allergic Reactions,Benadryl,0.556745862
Allergic Reactions,Benadryl Allergy,0.098341763
Allergic Reactions,Chlor-Trimeton,0.846366015
Allergic Reactions,Chlorpheniramine,0.688392341
Allergic Reactions,Cyproheptadine,0.356013637
Allergic Reactions,Diphenhydramine,0.710420072
Allergic Reactions,EpiPen,0.696146956
Allergic Reactions,Epinephrine,0.520117906
Allergic Reactions,Phenergan,0.934246749
Allergic Reactions,Prednisone,1.084883289
Allergic Reactions,Promethazine,0.317323305
Allergic Reactions,Triamcinolone,0.302457961
Allergic Rhinitis,Acetaminophen / dexbrompheniramine / pseudoephedrine,0
Allergic Rhinitis,Acrivastine / pseudoephedrine,0.02912552
Allergic Rhinitis,Actifed,0.029196955
Allergic Rhinitis,Allegra,0.116880348
Allergic Rhinitis,Allegra Allergy,0.014743233
Allergic Rhinitis,Allegra ODT,0.135545755
Allergic Rhinitis,Allegra-D 24 Hour,0.010426597
Allergic Rhinitis,Astepro,0.115728515
Allergic Rhinitis,Azelastine,0.094768896
Allergic Rhinitis,Azelastine / fluticasone,0.067605941
Allergic Rhinitis,Beclomethasone,0.012116681
Allergic Rhinitis,Beconase AQ,0.007010016
Allergic Rhinitis,Benadryl,0.024853694
Allergic Rhinitis,Brompheniramine / pseudoephedrine,0.093839369
Allergic Rhinitis,Budesonide,0.021579388
Allergic Rhinitis,Cetirizine,0.088458406
Allergic Rhinitis,Cetirizine / pseudoephedrine,0.036493088
Allergic Rhinitis,Children's Claritin Allergy,0.104265966
Allergic Rhinitis,Chlor-Trimeton,0.109279267
Allergic Rhinitis,Chlorpheniramine,0.0612427
Allergic Rhinitis,Ciclesonide,0.046097509
Allergic Rhinitis,Clarinex,0.045629548
Allergic Rhinitis,Claritin,0.094876561
Allergic Rhinitis,Claritin-D,0.08465909
Allergic Rhinitis,Claritin-D 24 Hour,0.015639895
Allergic Rhinitis,Desloratadine,0.023731315
Allergic Rhinitis,Dexbrompheniramine / pseudoephedrine,0.061850131
Allergic Rhinitis,Diphenhydramine,0.01443486
Allergic Rhinitis,Diphenhydramine / phenylephrine,0.010454215
Allergic Rhinitis,Drixoral Cold and Allergy,0.071778106
Allergic Rhinitis,Dymista,0.045891758
Allergic Rhinitis,Fexofenadine,0.074808338
Allergic Rhinitis,Fexofenadine / pseudoephedrine,0.047041116
Allergic Rhinitis,Flonase,0.129507948
Allergic Rhinitis,Fluticasone,0.109453258
Allergic Rhinitis,Levocetirizine,0.099309849
Allergic Rhinitis,Loratadine,0.088956434
Allergic Rhinitis,Loratadine / pseudoephedrine,0.048704158
Allergic Rhinitis,Medrol Dosepak,0.0246688
Allergic Rhinitis,Methylprednisolone,0.08094715
Allergic Rhinitis,Mometasone,0.043155212
Allergic Rhinitis,Montelukast,0.156052419
Allergic Rhinitis,Nasacort,0.082069736
Allergic Rhinitis,Nasacort AQ,0.080384504
Allergic Rhinitis,Nasacort Allergy 24HR,0
Allergic Rhinitis,Nasarel,0.046919685
Allergic Rhinitis,Nasonex,0.076157987
Allergic Rhinitis,Olopatadine,0.145972352
Allergic Rhinitis,Omnaris,0.084470553
Allergic Rhinitis,Palgic,0.005213298
Allergic Rhinitis,Patanase,0.083269731
Allergic Rhinitis,Prednisone,0.001280799
Allergic Rhinitis,Promethazine,0.010426597
Allergic Rhinitis,Pseudoephedrine / triprolidine,0.039493758
Allergic Rhinitis,QNASL,0.033846109
Allergic Rhinitis,Rhinocort Aqua,0.014018299
Allergic Rhinitis,Singulair,0.258312733
Allergic Rhinitis,Triamcinolone,0.068442513
Allergic Rhinitis,Veramyst,0.036703159
Allergic Rhinitis,Xyzal,0.098452603
Allergic Rhinitis,Zyrtec,0.094387003
Allergic Rhinitis,Zyrtec-D,0.114692562
Allergic Rhinitis,Zyrtec-D 12 Hour,0.072986176
Allergic Urticaria,Atarax,7.242283739
Allergic Urticaria,Famotidine,2.954847336
Allergic Urticaria,Hydroxyzine,4.261866108
Allergic Urticaria,Vistaril,5.654534459
Allergies,Acthar,0.104686393
Allergies,Atarax,0.858844335
Allergies,Hydroxyzine,0.600124545
Allergies,Levocetirizine,0.618416036
Allergies,Triprolidine,0.29514043
Allergies,Xyzal,0.391881003
Alopecia,Kenalog-10,1.667202339
Alopecia,Minoxidil,2.820071422
Alopecia,Rogaine,4.084432882
Alopecia,Rogaine Women's,2.782351293
Alopecia,Spironolactone,3.093669939
Alopecia,Triamcinolone,1.471148185
Alpha-1 Proteinase Inhibitor Deficiency,Alpha 1-proteinase inhibitor,27.2312696
Alzheimer's Disease,Aricept,7.263022431
Alzheimer's Disease,Donepezil,3.459206441
Alzheimer's Disease,Exelon,1.785658098
Alzheimer's Disease,Galantamine,1.169722356
Alzheimer's Disease,Memantine,3.183181517
Alzheimer's Disease,Namenda,3.735790179
Alzheimer's Disease,Namenda XR,3.425571412
Alzheimer's Disease,Razadyne ER,1.141857137
Alzheimer's Disease,Rivastigmine,0.444879839
Amebiasis,Metronidazole,0
Amenorrhea,Depo-Provera,1.006091583
Amenorrhea,Jolivette,0.024771085
Amenorrhea,Medroxyprogesterone,1.057528934
Amenorrhea,Norethindrone,0.089349792
Amenorrhea,Progesterone,1.839954511
Amenorrhea,Prometrium,1.770802584
Amenorrhea,Provera,0.95830251
Anal Fissure and Fistula,Nitroglycerin,10.54715408
Anal Fissure and Fistula,Rectiv,5.679236814
Androgenetic Alopecia,Finasteride,2.224834903
Androgenetic Alopecia,Propecia,3.361226192
Anemia,Epoetin alfa,0.356998563
Anemia,Integra F,4.854553978
Anemia,Multivitamin with iron,2.08926983
Anemia,Oxymetholone,0.554506262
Anemia,Procrit,0.311723351
Anemia Associated with Chronic Renal Failure,Aranesp,3.466611445
Anemia Associated with Chronic Renal Failure,Ferrlecit,0.698111272
Anemia Associated with Chronic Renal Failure,Ferrous sulfate,3.461630058
Anemia Associated with Chronic Renal Failure,Procrit,13.41381648
"Anemia, Sickle Cell",Hydrea,17.30815029
"Anemia, Sickle Cell",Hydroxyurea,7.957007468
Anesthesia,Diprivan,0.504848657
Anesthesia,Emla,0.422998688
Anesthesia,Ketamine,0.556017764
Anesthesia,LMX 4,0
Anesthesia,Lidocaine,0.147945251
Anesthesia,Lidocaine / prilocaine,0.076308201
Anesthesia,Pentothal,0.039917163
Anesthesia,Propofol,0.283572114
Anesthesia,Succinylcholine,0.117419327
Anesthesia,Thiopental,0.019958581
Anesthetic Adjunct,Hydromorphone,32.4527818
Angina,Aspirin,0.528860148
Angina,Carvedilol,0.117503121
Angina,Corgard,0.46165998
Angina,Isosorbide mononitrate,0.049895071
Angina,Lopressor,1.875049615
Angina,Lovenox,0
Angina,Metoprolol,0.826843131
Angina,Metoprolol Tartrate,0.387839595
Angina,Nitroglycerin,2.844720456
Angina,Ranexa,1.642472521
Angina,Ranolazine,1.377207329
Angina Pectoris Prophylaxis,Diltiazem,0.565249052
Angina Pectoris Prophylaxis,Imdur,8.464040099
Angina Pectoris Prophylaxis,Isosorbide mononitrate,2.837541848
Angina Pectoris Prophylaxis,Nitrostat,1.62263909
Ankylosing Spondylitis,Adalimumab,1.145989025
Ankylosing Spondylitis,Certolizumab,0.449562345
Ankylosing Spondylitis,Cimzia,0.066229807
Ankylosing Spondylitis,Clinoril,0.337650886
Ankylosing Spondylitis,Cosentyx,0.449116501
Ankylosing Spondylitis,Diclofenac,0.473728666
Ankylosing Spondylitis,Enbrel,0.414845589
Ankylosing Spondylitis,Etanercept,0.497979723
Ankylosing Spondylitis,Golimumab,0.599235655
Ankylosing Spondylitis,Humira,0.942677918
Ankylosing Spondylitis,Indocin,0.345911531
Ankylosing Spondylitis,Indocin SR,0.280976466
Ankylosing Spondylitis,Indomethacin,0.082992422
Ankylosing Spondylitis,Infliximab,0.505757638
Ankylosing Spondylitis,Naproxen,0.247760648
Ankylosing Spondylitis,Remicade,0.930358981
Ankylosing Spondylitis,Simponi,0.773310297
Ankylosing Spondylitis,Sulindac,0.42206647
Ankylosing Spondylitis,Vimovo,0.140175497
Ankylosing Spondylitis,Voltaren,0.280976466
Anorexia,Cyproheptadine,3.372217928
Anorexia,Dronabinol,1.239264267
Anorexia,Marinol,1.03671157
Anorexia,Megace ES,1.314463151
Anorexia,Megestrol,1.178103881
Anorexia/Feeding Problems,Fluvoxamine,29.20433521
Anthrax,Doxycycline,6.490556359
Antiphospholipid Syndrome,Coumadin,9.981112719
Antiphospholipid Syndrome,Warfarin,4.146744341
Anxiety,Alprazolam,0.02693974
Anxiety,Alprazolam Intensol,0.031535755
Anxiety,Atarax,0.043587392
Anxiety,Atenolol,0.05502792
Anxiety,Ativan,0.044115765
Anxiety,BuSpar,0.075415008
Anxiety,Bupropion,0.045661264
Anxiety,Buspirone,0.047285617
Anxiety,Catapres,0.080711746
Anxiety,Chlordiazepoxide,0.032136142
Anxiety,Clonazepam,0.033033956
Anxiety,Clonidine,0.046488215
Anxiety,Clorazepate,0.034439311
Anxiety,Compazine,0.002806142
Anxiety,Cymbalta,0.046482782
Anxiety,Desvenlafaxine,0.024980582
Anxiety,Desyrel,0.07089403
Anxiety,Diazepam,0.052284238
Anxiety,Dilantin,0.032219214
Anxiety,Doxepin,0.020736817
Anxiety,Duloxetine,0.04383301
Anxiety,Effexor XR,0.060771234
Anxiety,Escitalopram,0.028632105
Anxiety,Gabapentin,0.064917684
Anxiety,Hydroxyzine,0.025801247
Anxiety,Hyzine,0.018744837
Anxiety,Kava,0.019087431
Anxiety,Klonopin,0.047064049
Anxiety,Lamotrigine,0.016651279
Anxiety,Lexapro,0.038086773
Anxiety,Librium,0.017130282
Anxiety,Limbitrol DS,0.009852493
Anxiety,Lorazepam,0.030622621
Anxiety,Lorazepam Intensol,0.043961916
Anxiety,Meprobamate,0.020786676
Anxiety,Miltown,0.013417471
Anxiety,Mirtazapine,0.03631552
Anxiety,Nadolol,0.006639106
Anxiety,Nefazodone,0.010661558
Anxiety,Neurontin,0.188189504
Anxiety,Niravam,0.027662943
Anxiety,Oxazepam,0.040817849
Anxiety,Oxcarbazepine,0.028083954
Anxiety,Paroxetine,0.043844579
Anxiety,Paxil,0.052669388
Anxiety,Paxil CR,0.00497933
Anxiety,Pexeva,0.011922391
Anxiety,Phenytoin,0.036534519
Anxiety,Pristiq,0.021687179
Anxiety,Prochlorperazine,0.005589085
Anxiety,Propranolol,0.028944651
Anxiety,Remeron,0.06380436
Anxiety,Risperidone,0.038818262
Anxiety,Serax,0.076330592
Anxiety,Stelazine,0.012755556
Anxiety,Tenormin,0.128632686
Anxiety,Tramadol,0.059857683
Anxiety,Tranxene,0.04662302
Anxiety,Trazodone,0.064589781
Anxiety,Trifluoperazine,0.001338917
Anxiety,Valium,0.063651518
Anxiety,Vanspar,0.002545143
Anxiety,Venlafaxine,0.041308974
Anxiety,Viibryd,0.04399726
Anxiety,Vilazodone,0.015786811
Anxiety,Vistaril,0.052722765
Anxiety,Wellbutrin,0.217526091
Anxiety,Wellbutrin XL,0.029209128
Anxiety,Xanax,0.03862495
Anxiety,Xanax XR,0.050187657
Anxiety,Zetran,0.042073226
Anxiety and Stress,Amitriptyline,0.190304748
Anxiety and Stress,Celexa,0.227740349
Anxiety and Stress,Citalopram,0.168441812
Anxiety and Stress,Effexor,0.115309768
Anxiety and Stress,Effexor XR,0.084890052
Anxiety and Stress,Elavil,0.607829783
Anxiety and Stress,Fluoxetine,0.245533671
Anxiety and Stress,Fluvoxamine,0.114529295
Anxiety and Stress,Luvox,0.137798232
Anxiety and Stress,Luvox CR,0.101322801
Anxiety and Stress,Paroxetine,0.110259119
Anxiety and Stress,Paxil,0.202602012
Anxiety and Stress,Prazosin,0.469223506
Anxiety and Stress,Prozac,0.303346365
Anxiety and Stress,Prozac Weekly,0.176100366
Anxiety and Stress,Sertraline,0.147853071
Anxiety and Stress,Venlafaxine,0.092457506
Anxiety and Stress,Zoloft,0.151565997
Aphthous Ulce,Orajel,0
Aplastic Anemia,Promacta,2.163518786
Arrhythmia,Amiodarone,1.526584435
Arrhythmia,Cordarone,2.806999152
Arrhythmia,Disopyramide,0.509411444
Arrhythmia,Dofetilide,3.107344804
Arrhythmia,Norpace,0.736295964
Arrhythmia,Pacerone,4.687624037
Arrhythmia,Propranolol,0.826849477
Arrhythmia,Tikosyn,2.535494378
Ascariasis,Ivermectin,2.163518786
Asperger Syndrome,Lisdexamfetamine,4.706319332
Asperger Syndrome,Olanzapine,25.74734827
Asperger Syndrome,Vyvanse,9.372985999
"Aspergillosis, Aspergilloma",Sporanox,75.72315753
Aspiration Pneumonia,Clindamycin,43.27037573
Asthma,Aerobid,0.237987067
Asthma,Atrovent,0.811319545
Asthma,Breo Ellipta,0.284486268
Asthma,Caffeine,0.083175939
Asthma,Ciclesonide,0.166351879
Asthma,Decadron,0.324527818
Asthma,Dexamethasone,0.249527818
Asthma,Dulera,0.32607215
Asthma,Fluticasone / vilanterol,0.267048631
Asthma,Ipratropium,0.421886163
Asthma,Ipratropium Inhalation Solution,0.064905564
Asthma,Medrol Dosepak,0.349338945
Asthma,Mepolizumab,0.518993322
Asthma,Montelukast,0.416673641
Asthma,Nucala,0.309433382
Asthma,Prednisone,0.764519702
Asthma,Singulair,0.704730453
Asthma,Solu-Medrol,0.133175939
"Asthma, Maintenance",Accolate,0.168555895
"Asthma, Maintenance",Advair Diskus,0.168450734
"Asthma, Maintenance",Advair HFA,0.062872761
"Asthma, Maintenance",Albuterol,0.053815901
"Asthma, Maintenance",Alvesco,0.149750986
"Asthma, Maintenance",Arnuity Ellipta,0.107081371
"Asthma, Maintenance",Asmanex Twisthaler,0.146177046
"Asthma, Maintenance",Beclomethasone,0.254064144
"Asthma, Maintenance",Breo Ellipta,0.067801941
"Asthma, Maintenance",Budesonide,0.0604186
"Asthma, Maintenance",Ciclesonide,0.131761463
"Asthma, Maintenance",Cromolyn,0.029992255
"Asthma, Maintenance",Dulera,0.29287418
"Asthma, Maintenance",Flovent,0.038507498
"Asthma, Maintenance",Flovent HFA,0.105676379
"Asthma, Maintenance",Fluticasone,0.069488815
"Asthma, Maintenance",Fluticasone / salmeterol,0.142857399
"Asthma, Maintenance",Fluticasone / vilanterol,0.074507486
"Asthma, Maintenance",Foradil Aerolizer,0.417846976
"Asthma, Maintenance",Formoterol,0
"Asthma, Maintenance",Intal,0.004642744
"Asthma, Maintenance",Intal Inhaler,0.288474876
"Asthma, Maintenance",Levalbuterol,0.074965439
"Asthma, Maintenance",Medrol,0.046427442
"Asthma, Maintenance",Metaproterenol,0.035697828
"Asthma, Maintenance",Mometasone,0.240133826
"Asthma, Maintenance",Montelukast,0.334481525
"Asthma, Maintenance",Omalizumab,0.299636646
"Asthma, Maintenance",Pirbuterol,0.027856465
"Asthma, Maintenance",ProAir HFA,0.079012507
"Asthma, Maintenance",ProAir RespiClick,0.029961857
"Asthma, Maintenance",Pulmicort Flexhaler,0.221550004
"Asthma, Maintenance",Qvar,0.133959548
"Asthma, Maintenance",Singulair,0.401062401
"Asthma, Maintenance",Symbicort,0.259994938
"Asthma, Maintenance",Theophylline,0.148567814
"Asthma, Maintenance",Tiotropium,0
"Asthma, Maintenance",Ventolin,0.22285172
"Asthma, Maintenance",Ventolin HFA,0.157853302
"Asthma, Maintenance",Xolair,0.277015976
"Asthma, Maintenance",Xopenex,0.0349555
"Asthma, Maintenance",Zafirlukast,0.102140372
"Asthma, acute",Albuterol,0.248024151
"Asthma, acute",Asthmanefrin,0.187594723
"Asthma, acute",Ephedrine,0.418745572
"Asthma, acute",Epinephrine,0.301886246
"Asthma, acute",Levalbuterol,0.314073847
"Asthma, acute",Methylprednisolone,1.163166813
"Asthma, acute",Pirbuterol,0.056299296
"Asthma, acute",Prednisolone,1.22134125
"Asthma, acute",Primatene Mist,0.689454037
"Asthma, acute",ProAir HFA,0.223438918
"Asthma, acute",ProAir RespiClick,0.2032062
"Asthma, acute",Proventil HFA,1.151550322
"Asthma, acute",Quibron-T,0.021403832
"Asthma, acute",Racepinephrine,0.204478145
"Asthma, acute",Terbutaline,0.257759883
"Asthma, acute",Uniphyl,0.593222893
"Asthma, acute",Ventolin,0.640215132
"Asthma, acute",Ventolin HFA,0.279433508
"Asthma, acute",Xopenex,0.429295171
"Asthma, acute",Xopenex HFA,0.069790929
Atherosclerosis,Crestor,23.79870665
Atherosclerosis,Rosuvastatin,49.76093209
Atopic Dermatitis,Betamethasone,0.22536654
Atopic Dermatitis,Capex,0.270439848
Atopic Dermatitis,Clobetasol,0.449531953
Atopic Dermatitis,Clobex,0.642034962
Atopic Dermatitis,Crisaborole,0.335559617
Atopic Dermatitis,Cutivate,0.360586464
Atopic Dermatitis,Desoximetasone,0.113119882
Atopic Dermatitis,Dexamethasone,0.144537588
Atopic Dermatitis,Dupilumab,0.315513156
